Construct,Mean_Delta,sd,FRET_0M
164,0.524475590975169,0.0476940069102918,0.813111801539014
165,0.255263306402898,0.0489739602990093,0.763892297801056
166,0.255207311441212,0.0713510059474977,0.658205776452679
167,0.645803718659848,0.209497232636504,1.10965131205659
168,0.991130869051548,0.207280586816034,1.05586110011872
169,0.223133383745793,0.108688759232516,0.9807077263407
170,0.309081668815664,0.0759977264934532,0.997697120121141
171,0.246541791397685,0.0291899018973391,0.865390959320333
172,0.243987208337748,0.0994731189327094,0.831600244884709
173,0.269069154170948,0.0589239112891387,0.753215816677729
174,0.287752746676966,0.0389594801311073,0.657807981295689
175,0.363022173267622,0.0540761960174929,0.793309555882971
176,-0.0231544614949733,0.0731785180666131,0.836371450386344
177,0.555832690243846,0.0730591462276339,0.735710089281125
178,-0.0767109530637659,0.113028807227088,0.912100015243376
179,0.348668908058933,0.091874642201366,0.783761240858625
180,0.556336834242527,0.220381202869955,0.702386273110192
181,0.784840612373035,0.0707759713959709,0.792739396842168
182,0.319913943800944,0.150647582596889,0.938619731520353
183,0.485225742710784,0.0761049652093126,0.961951290192929
184,0.807655119459114,0.0434867930127426,0.891773604822532
185,0.796947842889292,0.0973792972484591,0.880830261603013
186,0.500703764883818,0.117491063130316,0.805288411962293
187,0.459208583110565,0.114785064923274,0.801362686916429
188,0.378796606483657,0.0759343211811566,0.75079469614859
189,0.61762180833307,0.156729231660272,0.774385163549629
190,0.589480625123797,0.0932042069367598,0.843835336867471
191,0.427118037681773,0.23940711978366,0.803249184797495
192,0.634009889829616,0.0927270388406374,0.838058886476384
193,0.934333914201168,0.0663606146869795,0.897811210949489
194,0.189857865700952,0.0792907198172284,0.731633219299662
195,0.154659709403993,0.0797043805090746,0.701857644445563
196,0.355052136328782,0.067968001838047,0.760510124167341
197,0.447777951998916,0.0412329115099452,0.789603822071131
198,0.336545277450692,0.0408783228931529,0.77756905532779
199,0.646456780085635,0.09248321249529,0.883171452454457
200,0.410575888987579,0.0452580210570369,0.802558911602507
201,0.298255182300452,0.0350247827886995,0.673792280793355
