Treatment,DxAm,DxDm,DxAm.DxDm,Mean,Normalized,Replicate,Construct,Plate
200,28078,27967,1.003969,0.8990778,1.116665,1,184,1
200,27801,29516,0.9418959,0.8990778,1.047625,1,184,1
400,29360,29061,1.010289,0.8990778,1.123694,1,184,1
400,32185,32188,0.9999068,0.8990778,1.112147,1,184,1
400,32635,31629,1.031806,0.8990778,1.147627,1,184,1
600,35861,31042,1.155241,0.8990778,1.284918,1,184,1
600,36640,32221,1.137147,0.8990778,1.264792,1,184,1
600,37382,32431,1.152663,0.8990778,1.28205,1,184,1
0,32541,36149,0.9001909,0.9288814,0.9691128,1,184,2
0,33205,35225,0.9426544,0.9288814,1.014827,1,184,2
0,33872,35889,0.9437989,0.9288814,1.01606,1,184,2
800,41397,30455,1.359284,0.9288814,1.463356,1,184,2
800,43274,31344,1.380615,0.9288814,1.48632,1,184,2
800,43235,30095,1.436617,0.9288814,1.54661,1,184,2
1000,46078,28696,1.605729,0.9288814,1.72867,1,184,2
1000,48759,32013,1.5231,0.9288814,1.639714,1,184,2
1000,48940,31654,1.546092,0.9288814,1.664467,1,184,2
1500,52671,31051,1.696274,0.9288814,1.826147,1,184,2
1500,51382,30478,1.685872,0.9288814,1.814948,1,184,2
1500,54313,32464,1.673022,0.9288814,1.801115,1,184,2
0,37644,43292,0.8695371,0.884909,0.9826289,2,184,1
0,40535,44657,0.9076964,0.884909,1.025751,2,184,1
0,39152,44618,0.8774934,0.884909,0.9916199,2,184,1
200,41400,43350,0.9550173,0.884909,1.079227,2,184,1
200,39656,41388,0.9581521,0.884909,1.082769,2,184,1
200,41408,43323,0.9557972,0.884909,1.080108,2,184,1
400,43328,40860,1.060401,0.884909,1.198317,2,184,1
400,38813,37186,1.043753,0.884909,1.179503,2,184,1
400,38046,37782,1.006987,0.884909,1.137956,2,184,1
600,39025,33735,1.15681,0.884909,1.307265,2,184,1
600,38917,33966,1.145763,0.884909,1.294781,2,184,1
600,38415,32209,1.192679,0.884909,1.347799,2,184,1
0,47881,55279,0.8661698,0.8724831,0.9927639,2,184,2
0,50407,58074,0.8679788,0.8724831,0.9948373,2,184,2
0,48510,54919,0.8833009,0.8724831,1.012399,2,184,2
800,62711,43646,1.43681,0.8724831,1.646805,2,184,2
800,61574,43636,1.411083,0.8724831,1.617318,2,184,2
800,60804,43696,1.391523,0.8724831,1.5949,2,184,2
1000,64424,39536,1.629502,0.8724831,1.86766,2,184,2
1000,58001,35724,1.623586,0.8724831,1.86088,2,184,2
1000,54804,33879,1.617639,0.8724831,1.854064,2,184,2
1500,55210,32998,1.673132,0.8724831,1.917667,2,184,2
1500,54222,32054,1.691583,0.8724831,1.938814,2,184,2
1500,56212,32956,1.705668,0.8724831,1.954958,2,184,2
0,33063,36619,0.9028919,0.8913341,1.012967,3,184,1
0,31771,36648,0.8669232,0.8913341,0.9726131,3,184,1
0,32133,35538,0.9041871,0.8913341,1.01442,3,184,1
200,34742,35357,0.982606,0.8913341,1.102399,3,184,1
200,32783,35555,0.9220363,0.8913341,1.034445,3,184,1
200,32576,34228,0.9517354,0.8913341,1.067765,3,184,1
400,35867,35059,1.023047,0.8913341,1.14777,3,184,1
400,34718,34348,1.010772,0.8913341,1.133999,3,184,1
400,34145,34100,1.00132,0.8913341,1.123394,3,184,1
600,37078,32572,1.13834,0.8913341,1.277119,3,184,1
600,38275,31774,1.204601,0.8913341,1.351459,3,184,1
600,37135,32827,1.131233,0.8913341,1.269146,3,184,1
0,41665,46964,0.8871689,0.895153,0.9910807,3,184,2
0,41896,45891,0.9129459,0.895153,1.019877,3,184,2
0,41574,46958,0.8853444,0.895153,0.9890424,3,184,2
800,52096,39579,1.316254,0.895153,1.470423,3,184,2
800,51654,38548,1.339992,0.895153,1.496941,3,184,2
800,49512,38070,1.300552,0.895153,1.452882,3,184,2
1000,55843,37174,1.502206,0.895153,1.678155,3,184,2
1000,53333,35238,1.513508,0.895153,1.690781,3,184,2
1000,53637,34855,1.538861,0.895153,1.719104,3,184,2
1500,57312,33774,1.696927,0.895153,1.895683,3,184,2
1500,55288,31113,1.777006,0.895153,1.985143,3,184,2
1500,53111,31327,1.695375,0.895153,1.893949,3,184,2
0,34293,38608,0.8882356,0.868523,1.022697,1,185,1
0,34429,39659,0.8681258,0.868523,0.9995427,1,185,1
0,32686,38490,0.8492076,0.868523,0.9777606,1,185,1
200,33159,35975,0.9217234,0.868523,1.061254,1,185,1
200,35110,37367,0.9395991,0.868523,1.081836,1,185,1
200,32100,36491,0.879669,0.868523,1.012833,1,185,1
400,32515,33960,0.9574499,0.868523,1.102389,1,185,1
400,34146,34513,0.9893663,0.868523,1.139137,1,185,1
400,34821,34807,1.000402,0.868523,1.151843,1,185,1
600,36371,32785,1.109379,0.868523,1.277317,1,185,1
600,34457,30231,1.13979,0.868523,1.312332,1,185,1
600,35459,31334,1.131646,0.868523,1.302955,1,185,1
0,39378,45717,0.8613426,0.8792297,0.9796559,1,185,2
0,38189,44436,0.8594158,0.8792297,0.9774644,1,185,2
0,41073,44794,0.9169308,0.8792297,1.04288,1,185,2
800,48265,36392,1.326253,0.8792297,1.508426,1,185,2
800,48918,36319,1.346898,0.8792297,1.531907,1,185,2
800,46993,35796,1.3128,0.8792297,1.493125,1,185,2
1000,50618,34221,1.47915,0.8792297,1.682325,1,185,2
1000,52525,34811,1.508862,0.8792297,1.716118,1,185,2
1000,50653,34757,1.457347,0.8792297,1.657527,1,185,2
1500,53261,33435,1.592971,0.8792297,1.811781,1,185,2
